implementation,n_positive_leaves,latency_ms,n_units
Cached Exact,2,0.06747816667332997,12
Cached Exact,3,0.06432819006341434,36
Cached Exact,4,0.0868053552650398,24
Cached Exact,5,0.0827843881826641,48
Cached Exact,6,0.09054593359690825,30
Cached Exact,7,0.09846164910274989,24
Cached Exact,9,0.09487083269244051,72
Cached Exact,10,0.09054186666389792,30
Cached Exact,11,0.08878625545789309,24
Cached Exact,12,0.09686271186074832,42
Cached Exact,13,0.10242901231172155,18
Cached Exact,14,0.08889552764770607,18
Cached Exact,15,0.09355009738116485,42
Cached Exact,16,0.09644056460405032,24
Cached Exact,17,0.08420881072354322,30
Cached Exact,18,0.08022816671351994,6
Cached Repair,2,0.06128341671455923,12
Cached Repair,3,0.06378360657452421,36
Cached Repair,4,0.05257351221639531,24
Cached Repair,5,0.0627748389659277,48
Cached Repair,6,0.06259499360034644,30
Cached Repair,7,0.0711873177725231,24
Cached Repair,9,0.08412969369989434,72
Cached Repair,10,0.08144083332793642,30
Cached Repair,11,0.0847884176606215,24
Cached Repair,12,0.12146593964472593,42
Cached Repair,13,0.12040480829517758,18
Cached Repair,14,0.09064351036401802,18
Cached Repair,15,0.10662582247651788,42
Cached Repair,16,0.08946054695667767,24
Cached Repair,17,0.07111413697367103,30
Cached Repair,18,0.05958691668032159,6
Scalar Exact,2,0.08121774999153782,12
Scalar Exact,3,0.104670931323192,36
Scalar Exact,4,0.1582941319530718,24
Scalar Exact,5,0.18439155425414736,48
Scalar Exact,6,0.22503031929688458,30
Scalar Exact,7,0.27497191917668856,24
Scalar Exact,9,0.32221258869720476,72
Scalar Exact,10,0.33775759999480215,30
Scalar Exact,11,0.36237874901393935,24
Scalar Exact,12,0.4171939760995747,42
Scalar Exact,13,0.4675775644225225,18
Scalar Exact,14,0.4463306101883943,18
Scalar Exact,15,0.5013343143033819,42
Scalar Exact,16,0.5389015674428542,24
Scalar Exact,17,0.5174246333304502,30
Scalar Exact,18,0.5206994166511928,6
Scalar Repair,2,0.06425541668325722,12
Scalar Repair,3,0.0687775929809151,36
Scalar Repair,4,0.05928203260683149,24
Scalar Repair,5,0.07342896213187312,48
Scalar Repair,6,0.07636531965524389,30
Scalar Repair,7,0.08811216088795988,24
Scalar Repair,9,0.10516269231002658,72
Scalar Repair,10,0.1038412000048083,30
Scalar Repair,11,0.10820730804004776,24
Scalar Repair,12,0.15080719638263457,42
Scalar Repair,13,0.15534846379301784,18
Scalar Repair,14,0.12234076718373135,18
Scalar Repair,15,0.1438645563780945,42
Scalar Repair,16,0.13014024350575942,24
Scalar Repair,17,0.10848065038510539,30
Scalar Repair,18,0.09796558334907479,6
