dataset,seed,displacement,protocol,metric,method,n_queries,coverage,conditional_cost
breast_cancer,7,0.0,free,weighted_l1,metric_projection,83,1.0,1.4886555633254221
breast_cancer,7,0.0,free,weighted_l1,metric_repair,83,1.0,1.4886555633254221
breast_cancer,7,0.0,free,weighted_l1,fixed_support_exact,83,1.0,1.4886555633254221
breast_cancer,7,0.0,free,weighted_l1,native_exact_sparse,83,1.0,1.4886555633254221
breast_cancer,7,0.0,free,scaled_l2,metric_projection,83,1.0,1.181656749767527
breast_cancer,7,0.0,free,scaled_l2,metric_repair,83,1.0,1.181656749767527
breast_cancer,7,0.0,free,scaled_l2,fixed_support_exact,83,1.0,1.181656749767527
breast_cancer,7,0.0,free,scaled_l2,native_exact_sparse,83,1.0,1.181656749767527
breast_cancer,7,0.0,immutable,weighted_l1,metric_projection,83,1.0,1.4886555633254221
breast_cancer,7,0.0,immutable,weighted_l1,metric_repair,83,1.0,1.4886555633254221
breast_cancer,7,0.0,immutable,weighted_l1,fixed_support_exact,83,1.0,1.4886555633254221
breast_cancer,7,0.0,immutable,weighted_l1,native_exact_sparse,83,1.0,1.4886555633254221
breast_cancer,7,0.0,immutable,scaled_l2,metric_projection,83,1.0,1.181656749767527
breast_cancer,7,0.0,immutable,scaled_l2,metric_repair,83,1.0,1.181656749767527
breast_cancer,7,0.0,immutable,scaled_l2,fixed_support_exact,83,1.0,1.181656749767527
breast_cancer,7,0.0,immutable,scaled_l2,native_exact_sparse,83,1.0,1.181656749767527
breast_cancer,7,0.0,immutable_top3,weighted_l1,metric_projection,83,0.25301204819277107,0.7449191263467678
breast_cancer,7,0.0,immutable_top3,weighted_l1,metric_repair,83,0.30120481927710846,0.8208745311284658
breast_cancer,7,0.0,immutable_top3,weighted_l1,fixed_support_exact,83,0.3493975903614458,0.8259794841391499
breast_cancer,7,0.0,immutable_top3,weighted_l1,native_exact_sparse,83,1.0,1.4886555633254221
breast_cancer,7,0.0,immutable_top3,scaled_l2,metric_projection,83,0.25301204819277107,0.7367696068845949
breast_cancer,7,0.0,immutable_top3,scaled_l2,metric_repair,83,0.30120481927710846,0.7899244483300436
breast_cancer,7,0.0,immutable_top3,scaled_l2,fixed_support_exact,83,0.3493975903614458,0.813784287629103
breast_cancer,7,0.0,immutable_top3,scaled_l2,native_exact_sparse,83,1.0,1.181656749767527
breast_cancer,7,1.0,free,weighted_l1,metric_projection,83,1.0,1.4886555633254221
breast_cancer,7,1.0,free,weighted_l1,metric_repair,83,1.0,1.4886555633254221
breast_cancer,7,1.0,free,weighted_l1,fixed_support_exact,83,1.0,1.4886555633254221
breast_cancer,7,1.0,free,weighted_l1,native_exact_sparse,83,1.0,1.4886555633254221
breast_cancer,7,1.0,free,scaled_l2,metric_projection,83,1.0,1.181656749767527
breast_cancer,7,1.0,free,scaled_l2,metric_repair,83,1.0,1.181656749767527
breast_cancer,7,1.0,free,scaled_l2,fixed_support_exact,83,1.0,1.181656749767527
breast_cancer,7,1.0,free,scaled_l2,native_exact_sparse,83,1.0,1.181656749767527
breast_cancer,7,1.0,immutable,weighted_l1,metric_projection,83,1.0,1.4886555633254221
breast_cancer,7,1.0,immutable,weighted_l1,metric_repair,83,1.0,1.4886555633254221
breast_cancer,7,1.0,immutable,weighted_l1,fixed_support_exact,83,1.0,1.4886555633254221
breast_cancer,7,1.0,immutable,weighted_l1,native_exact_sparse,83,1.0,1.4886555633254221
breast_cancer,7,1.0,immutable,scaled_l2,metric_projection,83,1.0,1.181656749767527
breast_cancer,7,1.0,immutable,scaled_l2,metric_repair,83,1.0,1.181656749767527
breast_cancer,7,1.0,immutable,scaled_l2,fixed_support_exact,83,1.0,1.181656749767527
breast_cancer,7,1.0,immutable,scaled_l2,native_exact_sparse,83,1.0,1.181656749767527
breast_cancer,7,1.0,immutable_top3,weighted_l1,metric_projection,83,0.25301204819277107,0.7449191263467678
breast_cancer,7,1.0,immutable_top3,weighted_l1,metric_repair,83,0.30120481927710846,0.8208745311284658
breast_cancer,7,1.0,immutable_top3,weighted_l1,fixed_support_exact,83,0.3493975903614458,0.8259794841391499
breast_cancer,7,1.0,immutable_top3,weighted_l1,native_exact_sparse,83,1.0,1.4886555633254221
breast_cancer,7,1.0,immutable_top3,scaled_l2,metric_projection,83,0.25301204819277107,0.7367696068845949
breast_cancer,7,1.0,immutable_top3,scaled_l2,metric_repair,83,0.30120481927710846,0.7899244483300436
breast_cancer,7,1.0,immutable_top3,scaled_l2,fixed_support_exact,83,0.3493975903614458,0.813784287629103
breast_cancer,7,1.0,immutable_top3,scaled_l2,native_exact_sparse,83,1.0,1.181656749767527
breast_cancer,13,0.0,free,weighted_l1,metric_projection,73,1.0,1.6399670473624983
breast_cancer,13,0.0,free,weighted_l1,metric_repair,73,1.0,1.6399670473624983
breast_cancer,13,0.0,free,weighted_l1,fixed_support_exact,73,1.0,1.6399670473624983
breast_cancer,13,0.0,free,weighted_l1,native_exact_sparse,73,1.0,1.6399670473624983
breast_cancer,13,0.0,free,scaled_l2,metric_projection,73,1.0,1.3103136903668997
breast_cancer,13,0.0,free,scaled_l2,metric_repair,73,1.0,1.3103136903668997
breast_cancer,13,0.0,free,scaled_l2,fixed_support_exact,73,1.0,1.3103136903668997
breast_cancer,13,0.0,free,scaled_l2,native_exact_sparse,73,1.0,1.3103136903668997
breast_cancer,13,0.0,immutable,weighted_l1,metric_projection,73,1.0,1.6399670473624983
breast_cancer,13,0.0,immutable,weighted_l1,metric_repair,73,1.0,1.6399670473624983
breast_cancer,13,0.0,immutable,weighted_l1,fixed_support_exact,73,1.0,1.6399670473624983
breast_cancer,13,0.0,immutable,weighted_l1,native_exact_sparse,73,1.0,1.6399670473624983
breast_cancer,13,0.0,immutable,scaled_l2,metric_projection,73,1.0,1.3103136903668997
breast_cancer,13,0.0,immutable,scaled_l2,metric_repair,73,1.0,1.3103136903668997
