protocol,metric,method,n_units,coverage,conditional_cost
free,scaled_l2,fixed_support_exact,160,1.0,0.6132733033610913
free,scaled_l2,metric_projection,160,1.0,0.6132733033610913
free,scaled_l2,metric_repair,160,1.0,0.6132733033610913
free,scaled_l2,native_exact_sparse,160,1.0,0.6132733033610913
free,weighted_l1,fixed_support_exact,160,1.0,0.6609271807259003
free,weighted_l1,metric_projection,160,1.0,0.6609271807259003
free,weighted_l1,metric_repair,160,1.0,0.6609271807259003
free,weighted_l1,native_exact_sparse,160,1.0,0.6609271807259003
immutable,scaled_l2,fixed_support_exact,160,0.9559619694031459,0.6940096447870149
immutable,scaled_l2,metric_projection,160,0.7888327209101007,0.5904068842222857
immutable,scaled_l2,metric_repair,160,0.8592322201802304,0.7764062129841122
immutable,scaled_l2,native_exact_sparse,160,0.9559619694031459,0.6940096447870149
immutable,weighted_l1,fixed_support_exact,160,0.9559619694031459,0.7447375638054747
immutable,weighted_l1,metric_projection,160,0.7995168179894149,0.6384189440880609
immutable,weighted_l1,metric_repair,160,0.8660626955148156,1.1649844384933608
immutable,weighted_l1,native_exact_sparse,160,0.9559619694031459,0.7447375638054747
immutable_top3,scaled_l2,fixed_support_exact,160,0.6795273459041192,0.859837216105995
immutable_top3,scaled_l2,metric_projection,160,0.4516033327262556,0.550232153179461
immutable_top3,scaled_l2,metric_repair,160,0.5317561169830702,0.7713460628309023
immutable_top3,scaled_l2,native_exact_sparse,160,0.9559619694031459,0.6940574257730467
immutable_top3,weighted_l1,fixed_support_exact,160,0.6795273459041192,0.8909334967856493
immutable_top3,weighted_l1,metric_projection,160,0.46645994088446613,0.5823622688179426
immutable_top3,weighted_l1,metric_repair,160,0.5425410501098697,0.9250833732509737
immutable_top3,weighted_l1,native_exact_sparse,160,0.9559619694031459,0.7447418611601427
