dataset,seed,support_rule,draw,n_queries,coverage,mean_cost_valid,mean_changed_valid,sparse_share_leq3
breast_cancer,7,nearest_positive,0,83,0.3493975903614458,0.8259794841391499,1.103448275862069,1.0
breast_cancer,7,random,0,83,0.08433734939759036,0.5997225564734004,1.1428571428571428,1.0
breast_cancer,7,random,1,83,0.08433734939759036,0.9434209852815084,1.0,1.0
breast_cancer,7,random,2,83,0.060240963855421686,0.946063684376161,1.0,1.0
breast_cancer,7,random,3,83,0.07228915662650602,0.7654342262974309,1.1666666666666667,1.0
breast_cancer,7,random,4,83,0.060240963855421686,1.1332072031463807,1.4,1.0
breast_cancer,7,feature_importance,0,83,1.0,1.68083782728106,1.6746987951807228,1.0
breast_cancer,13,nearest_positive,0,73,0.2876712328767123,0.7018517587196682,1.0476190476190477,1.0
breast_cancer,13,random,0,73,0.0410958904109589,1.059408678691904,1.6666666666666667,1.0
breast_cancer,13,random,1,73,0.0410958904109589,0.7417606694729244,1.0,1.0
breast_cancer,13,random,2,73,0.0958904109589041,0.6487591049064397,1.1428571428571428,1.0
breast_cancer,13,random,3,73,0.0410958904109589,0.6500074410205766,1.0,1.0
breast_cancer,13,random,4,73,0.0684931506849315,0.5958203691052394,1.2,1.0
breast_cancer,13,feature_importance,0,73,1.0,1.793409925061025,1.917808219178082,1.0
breast_cancer,19,nearest_positive,0,73,0.0684931506849315,1.415541750204291,1.0,1.0
breast_cancer,19,random,0,73,0.0958904109589041,1.4236542063243096,1.1428571428571428,1.0
breast_cancer,19,random,1,73,0.0821917808219178,1.5686047461636174,1.3333333333333333,1.0
breast_cancer,19,random,2,73,0.0684931506849315,0.6322511557547497,1.2,1.0
breast_cancer,19,random,3,73,0.0410958904109589,1.0774319452606844,1.3333333333333333,1.0
breast_cancer,19,random,4,73,0.0958904109589041,0.8736029146883482,1.0,1.0
breast_cancer,19,feature_importance,0,73,1.0,1.3373435617526253,1.6027397260273972,1.0
breast_cancer,29,nearest_positive,0,89,0.29213483146067415,0.9351492580592881,1.1923076923076923,1.0
breast_cancer,29,random,0,89,0.12359550561797752,0.6921644266075199,1.1818181818181819,1.0
breast_cancer,29,random,1,89,0.11235955056179775,1.301890780398087,1.2,1.0
breast_cancer,29,random,2,89,0.11235955056179775,0.5464384630804818,1.1,1.0
breast_cancer,29,random,3,89,0.10112359550561797,0.906397638669106,1.1111111111111112,1.0
breast_cancer,29,random,4,89,0.11235955056179775,0.9863964051528695,1.2,1.0
breast_cancer,29,feature_importance,0,89,1.0,1.2265926528960105,1.595505617977528,1.0
breast_cancer,37,nearest_positive,0,74,0.06756756756756757,0.25313330469709816,1.0,1.0
breast_cancer,37,random,0,74,0.05405405405405406,0.11688120820633188,1.0,1.0
